,m,r,2,3
0,0.0,0.0,0.19199999999999995,0.1875
1,0.0,1.0,0.17300000000000004,0.1935
2,0.0,2.0,0.1775,0.18700000000000006
3,0.0,3.0,0.1855,0.1745
4,0.0,4.0,0.20599999999999996,0.19099999999999995
5,0.0,5.0,0.18799999999999994,0.20699999999999996
6,0.0,6.0,0.18000000000000005,0.18500000000000005
7,0.0,7.0,0.16549999999999998,0.19699999999999995
8,0.0,8.0,0.18300000000000005,0.19099999999999995
9,0.0,9.0,0.16600000000000004,0.17149999999999999
10,1.0,0.0,0.23299999999999998,0.21350000000000002
11,1.0,1.0,0.20399999999999996,0.1985
12,1.0,2.0,0.21199999999999997,0.19299999999999995
13,1.0,3.0,0.21450000000000002,0.20399999999999996
14,1.0,4.0,0.22099999999999997,0.2015
15,1.0,5.0,0.1905,0.1875
16,1.0,6.0,0.20999999999999996,0.20399999999999996
17,1.0,7.0,0.22799999999999998,0.19799999999999995
18,1.0,8.0,0.21950000000000003,0.19599999999999995
19,1.0,9.0,0.21750000000000003,0.19499999999999995
20,2.0,0.0,0.23850000000000005,0.21099999999999997
21,2.0,1.0,0.22999999999999998,0.253
22,2.0,2.0,0.21699999999999997,0.22050000000000003
23,2.0,3.0,0.22650000000000003,0.22350000000000003
24,2.0,4.0,0.237,0.22699999999999998
25,2.0,5.0,0.21450000000000002,0.21450000000000002
26,2.0,6.0,0.22250000000000003,0.24150000000000005
27,2.0,7.0,0.22999999999999998,0.21499999999999997
28,2.0,8.0,0.22550000000000003,0.22199999999999998
29,2.0,9.0,0.22299999999999998,0.22750000000000004
30,3.0,0.0,0.21699999999999997,0.21499999999999997
31,3.0,1.0,0.21050000000000002,0.22050000000000003
32,3.0,2.0,0.21350000000000002,0.21499999999999997
33,3.0,3.0,0.21299999999999997,0.22799999999999998
34,3.0,4.0,0.23250000000000004,0.22099999999999997
35,3.0,5.0,0.22299999999999998,0.21399999999999997
36,3.0,6.0,0.22899999999999998,0.21399999999999997
37,3.0,7.0,0.22150000000000003,0.22450000000000003
38,3.0,8.0,0.22999999999999998,0.20950000000000002
39,3.0,9.0,0.23950000000000005,0.21550000000000002
40,4.0,0.0,0.23650000000000004,0.241
41,4.0,1.0,0.24350000000000005,0.235
42,4.0,2.0,0.22799999999999998,0.22750000000000004
43,4.0,3.0,0.22499999999999998,0.22699999999999998
44,4.0,4.0,0.23199999999999998,0.21750000000000003
45,4.0,5.0,0.23750000000000004,0.23750000000000004
46,4.0,6.0,0.23250000000000004,0.24450000000000005
47,4.0,7.0,0.24250000000000005,0.25249999999999995
48,4.0,8.0,0.22299999999999998,0.244
49,4.0,9.0,0.249,0.23750000000000004
50,5.0,0.0,0.245,0.249
51,5.0,1.0,0.23150000000000004,0.24
52,5.0,2.0,0.254,0.24850000000000005
53,5.0,3.0,0.242,0.25449999999999995
54,5.0,4.0,0.23850000000000005,0.22450000000000003
55,5.0,5.0,0.245,0.24350000000000005
56,5.0,6.0,0.238,0.254
57,5.0,7.0,0.22950000000000004,0.24050000000000005
58,5.0,8.0,0.22599999999999998,0.242
59,5.0,9.0,0.25549999999999995,0.23250000000000004
60,10.0,0.0,0.26849999999999996,0.25049999999999994
61,10.0,1.0,0.26749999999999996,0.23750000000000004
62,10.0,2.0,0.26149999999999995,0.23850000000000005
63,10.0,3.0,0.2875,0.244
64,10.0,4.0,0.27949999999999997,0.22999999999999998
65,10.0,5.0,0.2815,0.238
66,10.0,6.0,0.28800000000000003,0.23299999999999998
67,10.0,7.0,0.2895,0.241
68,10.0,8.0,0.27849999999999997,0.24450000000000005
69,10.0,9.0,0.267,0.23350000000000004
70,20.0,0.0,0.2975,0.23650000000000004
71,20.0,1.0,0.28700000000000003,0.262
72,20.0,2.0,0.2905,0.25549999999999995
73,20.0,3.0,0.2985,0.27149999999999996
74,20.0,4.0,0.28,0.251
75,20.0,5.0,0.29700000000000004,0.25649999999999995
76,20.0,6.0,0.30500000000000005,0.24
77,20.0,7.0,0.2855,0.258
78,20.0,8.0,0.29200000000000004,0.239
79,20.0,9.0,0.2855,0.25849999999999995
80,30.0,0.0,0.29500000000000004,0.26149999999999995
81,30.0,1.0,0.3115,0.26549999999999996
82,30.0,2.0,0.31599999999999995,0.26449999999999996
83,30.0,3.0,0.32799999999999996,0.26149999999999995
84,30.0,4.0,0.30300000000000005,0.26349999999999996
85,30.0,5.0,0.3125,0.26649999999999996
86,30.0,6.0,0.30300000000000005,0.27049999999999996
87,30.0,7.0,0.30300000000000005,0.25849999999999995
88,30.0,8.0,0.3195,0.26749999999999996
89,30.0,9.0,0.3285,0.26549999999999996
90,40.0,0.0,0.3205,0.262
91,40.0,1.0,0.30000000000000004,0.25349999999999995
92,40.0,2.0,0.2985,0.26349999999999996
93,40.0,3.0,0.30600000000000005,0.28300000000000003
94,40.0,4.0,0.33299999999999996,0.2835
95,40.0,5.0,0.3075,0.276
96,40.0,6.0,0.3115,0.269
97,40.0,7.0,0.3205,0.25549999999999995
98,40.0,8.0,0.32099999999999995,0.281
99,40.0,9.0,0.30400000000000005,0.27349999999999997
