,m,r,2,alpha,3
0,0.0,0.0,0.18500000000000005,0.5,0.1915
1,0.0,1.0,0.16949999999999998,0.5,0.17700000000000005
2,0.0,2.0,0.1765,0.5,0.1735
3,0.0,3.0,0.1865,0.5,0.18799999999999994
4,0.0,4.0,0.18700000000000006,0.5,0.17049999999999998
5,0.0,5.0,0.1725,0.5,0.19199999999999995
6,0.0,6.0,0.1825,0.5,0.17700000000000005
7,0.0,7.0,0.16200000000000003,0.5,0.16800000000000004
8,0.0,8.0,0.17500000000000004,0.5,0.18600000000000005
9,0.0,9.0,0.16649999999999998,0.5,0.17300000000000004
10,1.0,0.0,0.20550000000000002,0.6,0.18700000000000006
11,1.0,1.0,0.19699999999999995,0.6,0.1825
12,1.0,2.0,0.19699999999999995,0.6,0.19199999999999995
13,1.0,3.0,0.19199999999999995,0.6,0.18200000000000005
14,1.0,4.0,0.1935,0.6,0.1835
15,1.0,5.0,0.1995,0.6,0.18500000000000005
16,1.0,6.0,0.1975,0.6,0.21199999999999997
17,1.0,7.0,0.20599999999999996,0.6,0.18700000000000006
18,1.0,8.0,0.18899999999999995,0.6,0.18400000000000005
19,1.0,9.0,0.1985,0.6,0.18200000000000005
20,2.0,0.0,0.21099999999999997,0.6,0.22950000000000004
21,2.0,1.0,0.22250000000000003,0.6,0.21850000000000003
22,2.0,2.0,0.21350000000000002,0.6,0.21750000000000003
23,2.0,3.0,0.21199999999999997,0.6,0.238
24,2.0,4.0,0.22099999999999997,0.6,0.22099999999999997
25,2.0,5.0,0.21099999999999997,0.6,0.22799999999999998
26,2.0,6.0,0.21199999999999997,0.6,0.22750000000000004
27,2.0,7.0,0.20999999999999996,0.6,0.22199999999999998
28,2.0,8.0,0.21150000000000002,0.6,0.22850000000000004
29,2.0,9.0,0.21250000000000002,0.6,0.22899999999999998
30,3.0,0.0,0.22899999999999998,0.5,0.21499999999999997
31,3.0,1.0,0.22999999999999998,0.5,0.22499999999999998
32,3.0,2.0,0.20899999999999996,0.5,0.21299999999999997
33,3.0,3.0,0.22399999999999998,0.5,0.21699999999999997
34,3.0,4.0,0.22050000000000003,0.5,0.20899999999999996
35,3.0,5.0,0.21550000000000002,0.5,0.20999999999999996
36,3.0,6.0,0.21599999999999997,0.5,0.22499999999999998
37,3.0,7.0,0.22899999999999998,0.5,0.21199999999999997
38,3.0,8.0,0.21799999999999997,0.5,0.23199999999999998
39,3.0,9.0,0.20350000000000001,0.5,0.22999999999999998
40,4.0,0.0,0.21950000000000003,0.5,0.21950000000000003
41,4.0,1.0,0.21999999999999997,0.5,0.23850000000000005
42,4.0,2.0,0.24750000000000005,0.5,0.22099999999999997
43,4.0,3.0,0.22250000000000003,0.5,0.23099999999999998
44,4.0,4.0,0.22250000000000003,0.5,0.21999999999999997
45,4.0,5.0,0.21799999999999997,0.5,0.20350000000000001
46,4.0,6.0,0.20850000000000002,0.5,0.22199999999999998
47,4.0,7.0,0.21899999999999997,0.5,0.22350000000000003
48,4.0,8.0,0.20699999999999996,0.5,0.23850000000000005
49,4.0,9.0,0.22099999999999997,0.5,0.238
50,5.0,0.0,0.239,0.8999999999999999,0.22550000000000003
51,5.0,1.0,0.238,0.8999999999999999,0.21499999999999997
52,5.0,2.0,0.23650000000000004,0.8999999999999999,0.22150000000000003
53,5.0,3.0,0.23250000000000004,0.8999999999999999,0.22399999999999998
54,5.0,4.0,0.23650000000000004,0.8999999999999999,0.22150000000000003
55,5.0,5.0,0.23399999999999999,0.8999999999999999,0.22750000000000004
56,5.0,6.0,0.23650000000000004,0.8999999999999999,0.22350000000000003
57,5.0,7.0,0.22850000000000004,0.8999999999999999,0.21599999999999997
58,5.0,8.0,0.24,0.8999999999999999,0.22850000000000004
59,5.0,9.0,0.23199999999999998,0.8999999999999999,0.22550000000000003
60,10.0,0.0,0.28,0.7999999999999999,0.21999999999999997
61,10.0,1.0,0.281,0.7999999999999999,0.23050000000000004
62,10.0,2.0,0.26649999999999996,0.7999999999999999,0.22950000000000004
63,10.0,3.0,0.29100000000000004,0.7999999999999999,0.22050000000000003
64,10.0,4.0,0.276,0.7999999999999999,0.235
65,10.0,5.0,0.26049999999999995,0.7999999999999999,0.22199999999999998
66,10.0,6.0,0.26049999999999995,0.7999999999999999,0.23399999999999999
67,10.0,7.0,0.274,0.7999999999999999,0.22499999999999998
68,10.0,8.0,0.265,0.7999999999999999,0.23650000000000004
69,10.0,9.0,0.28300000000000003,0.7999999999999999,0.24650000000000005
70,20.0,0.0,0.2975,0.7999999999999999,0.27649999999999997
71,20.0,1.0,0.2955,0.7999999999999999,0.24950000000000006
72,20.0,2.0,0.2895,0.7999999999999999,0.25449999999999995
73,20.0,3.0,0.28900000000000003,0.7999999999999999,0.237
74,20.0,4.0,0.2855,0.7999999999999999,0.25649999999999995
75,20.0,5.0,0.30100000000000005,0.7999999999999999,0.25949999999999995
76,20.0,6.0,0.29600000000000004,0.7999999999999999,0.23150000000000004
77,20.0,7.0,0.29100000000000004,0.7999999999999999,0.245
78,20.0,8.0,0.28300000000000003,0.7999999999999999,0.262
79,20.0,9.0,0.29500000000000004,0.7999999999999999,0.24450000000000005
80,30.0,0.0,0.30300000000000005,0.5,0.261
81,30.0,1.0,0.31699999999999995,0.5,0.26549999999999996
82,30.0,2.0,0.3175,0.5,0.265
83,30.0,3.0,0.3175,0.5,0.26449999999999996
84,30.0,4.0,0.32699999999999996,0.5,0.273
85,30.0,5.0,0.3045,0.5,0.2845
86,30.0,6.0,0.3095,0.5,0.27449999999999997
87,30.0,7.0,0.3205,0.5,0.265
88,30.0,8.0,0.3105,0.5,0.25
89,30.0,9.0,0.3105,0.5,0.259
90,40.0,0.0,0.31399999999999995,0.5,0.2855
91,40.0,1.0,0.3095,0.5,0.27349999999999997
92,40.0,2.0,0.2935,0.5,0.27049999999999996
93,40.0,3.0,0.3065,0.5,0.25849999999999995
94,40.0,4.0,0.3115,0.5,0.265
95,40.0,5.0,0.30500000000000005,0.5,0.25949999999999995
96,40.0,6.0,0.30800000000000005,0.5,0.27049999999999996
97,40.0,7.0,0.3025,0.5,0.27549999999999997
98,40.0,8.0,0.30700000000000005,0.5,0.28700000000000003
99,40.0,9.0,0.3185,0.5,0.278
