,m,r,5
0,0.0,0.0,0.18500000000000005
1,0.0,1.0,0.16949999999999998
2,0.0,2.0,0.1765
3,0.0,3.0,0.1865
4,0.0,4.0,0.18700000000000006
5,1.0,0.0,0.15849999999999997
6,1.0,1.0,0.15200000000000002
7,1.0,2.0,0.16200000000000003
8,1.0,3.0,0.15949999999999998
9,1.0,4.0,0.15349999999999997
10,2.0,0.0,0.1785
11,2.0,1.0,0.19299999999999995
12,2.0,2.0,0.1785
13,2.0,3.0,0.17049999999999998
14,2.0,4.0,0.16300000000000003
15,3.0,0.0,0.15700000000000003
16,3.0,1.0,0.15400000000000003
17,3.0,2.0,0.16149999999999998
18,3.0,3.0,0.15649999999999997
19,3.0,4.0,0.15000000000000002
20,4.0,0.0,0.19499999999999995
21,4.0,1.0,0.16549999999999998
22,4.0,2.0,0.16949999999999998
23,4.0,3.0,0.1765
24,4.0,4.0,0.1765
25,5.0,0.0,0.16849999999999998
26,5.0,1.0,0.17300000000000004
27,5.0,2.0,0.1745
28,5.0,3.0,0.16849999999999998
29,5.0,4.0,0.16700000000000004
30,10.0,0.0,0.17000000000000004
31,10.0,1.0,0.1775
32,10.0,2.0,0.1905
33,10.0,3.0,0.18400000000000005
34,10.0,4.0,0.1945
35,20.0,0.0,0.17900000000000005
36,20.0,1.0,0.17600000000000005
37,20.0,2.0,0.18100000000000005
38,20.0,3.0,0.17200000000000004
39,20.0,4.0,0.1835
40,30.0,0.0,0.1935
41,30.0,1.0,0.18600000000000005
42,30.0,2.0,0.17149999999999999
43,30.0,3.0,0.16849999999999998
44,30.0,4.0,0.18000000000000005
45,40.0,0.0,0.1725
46,40.0,1.0,0.18100000000000005
47,40.0,2.0,0.16149999999999998
48,40.0,3.0,0.1855
49,40.0,4.0,0.18799999999999994
