,m,r,1,2
0,0.0,0.0,0.15349999999999997,0.16449999999999998
1,0.0,1.0,0.16500000000000004,0.16100000000000003
2,0.0,2.0,0.15249999999999997,0.15949999999999998
3,0.0,3.0,0.16400000000000003,0.15100000000000002
4,0.0,4.0,0.19199999999999995,0.1915
5,0.0,5.0,0.16849999999999998,0.16500000000000004
6,0.0,6.0,0.18799999999999994,0.16749999999999998
7,0.0,7.0,0.16000000000000003,0.16600000000000004
8,0.0,8.0,0.1945,0.1725
9,0.0,9.0,0.16100000000000003,0.15749999999999997
10,1.0,0.0,0.22299999999999998,0.1845
11,1.0,1.0,0.22750000000000004,0.1975
12,1.0,2.0,0.20599999999999996,0.1825
13,1.0,3.0,0.22850000000000004,0.19899999999999995
14,1.0,4.0,0.21199999999999997,0.1915
15,1.0,5.0,0.21099999999999997,0.19799999999999995
16,1.0,6.0,0.20399999999999996,0.1745
17,1.0,7.0,0.22250000000000003,0.2025
18,1.0,8.0,0.21699999999999997,0.1915
19,1.0,9.0,0.21850000000000003,0.18400000000000005
20,2.0,0.0,0.236,0.3205
21,2.0,1.0,0.25,0.278
22,2.0,2.0,0.269,0.28500000000000003
23,2.0,3.0,0.22999999999999998,0.2825
24,2.0,4.0,0.25449999999999995,0.274
25,2.0,5.0,0.22550000000000003,0.27349999999999997
26,2.0,6.0,0.23250000000000004,0.28300000000000003
27,2.0,7.0,0.27649999999999997,0.29600000000000004
28,2.0,8.0,0.238,0.29700000000000004
29,2.0,9.0,0.24450000000000005,0.27049999999999996
30,3.0,0.0,0.24250000000000005,0.31000000000000005
31,3.0,1.0,0.249,0.29900000000000004
32,3.0,2.0,0.25249999999999995,0.28500000000000003
33,3.0,3.0,0.263,0.3045
34,3.0,4.0,0.277,0.28400000000000003
35,3.0,5.0,0.253,0.2955
36,3.0,6.0,0.26149999999999995,0.29200000000000004
37,3.0,7.0,0.239,0.29100000000000004
38,3.0,8.0,0.279,0.3165
39,3.0,9.0,0.259,0.30100000000000005
40,4.0,0.0,0.272,0.33599999999999997
41,4.0,1.0,0.3135,0.3055
42,4.0,2.0,0.275,0.348
43,4.0,3.0,0.264,0.3395
44,4.0,4.0,0.31799999999999995,0.3145
45,4.0,5.0,0.27749999999999997,0.3095
46,4.0,6.0,0.30700000000000005,0.353
47,4.0,7.0,0.272,0.349
48,4.0,8.0,0.27549999999999997,0.30900000000000005
49,4.0,9.0,0.2975,0.31299999999999994
50,5.0,0.0,0.29200000000000004,0.33399999999999996
51,5.0,1.0,0.3005,0.347
52,5.0,2.0,0.3135,0.3235
53,5.0,3.0,0.3015,0.32699999999999996
54,5.0,4.0,0.30600000000000005,0.348
55,5.0,5.0,0.27849999999999997,0.34650000000000003
56,5.0,6.0,0.2915,0.34199999999999997
57,5.0,7.0,0.2815,0.33699999999999997
58,5.0,8.0,0.30600000000000005,0.33999999999999997
59,5.0,9.0,0.274,0.35650000000000004
60,10.0,0.0,0.369,0.395
61,10.0,1.0,0.357,0.38749999999999996
62,10.0,2.0,0.364,0.39849999999999997
63,10.0,3.0,0.38849999999999996,0.4
64,10.0,4.0,0.39049999999999996,0.393
65,10.0,5.0,0.35850000000000004,0.4095
66,10.0,6.0,0.384,0.40700000000000003
67,10.0,7.0,0.36250000000000004,0.4095
68,10.0,8.0,0.362,0.41500000000000004
69,10.0,9.0,0.348,0.41700000000000004
70,20.0,0.0,0.4105,0.4365
71,20.0,1.0,0.43100000000000005,0.44199999999999995
72,20.0,2.0,0.4145,0.45999999999999996
73,20.0,3.0,0.42500000000000004,0.46299999999999997
74,20.0,4.0,0.4095,0.4385
75,20.0,5.0,0.402,0.45499999999999996
76,20.0,6.0,0.398,0.44099999999999995
77,20.0,7.0,0.4415,0.4385
78,20.0,8.0,0.41000000000000003,0.4335
79,20.0,9.0,0.44499999999999995,0.4325
80,30.0,0.0,0.4225,0.4215
81,30.0,1.0,0.43000000000000005,0.45599999999999996
82,30.0,2.0,0.4115,0.43600000000000005
83,30.0,3.0,0.42500000000000004,0.41600000000000004
84,30.0,4.0,0.4165,0.43799999999999994
85,30.0,5.0,0.4185,0.4395
86,30.0,6.0,0.4235,0.4255
87,30.0,7.0,0.4235,0.43899999999999995
88,30.0,8.0,0.42500000000000004,0.4065
89,30.0,9.0,0.4315,0.4595
90,40.0,0.0,0.45699999999999996,0.4135
91,40.0,1.0,0.45099999999999996,0.4375
92,40.0,2.0,0.45699999999999996,0.404
93,40.0,3.0,0.42500000000000004,0.4475
94,40.0,4.0,0.47550000000000003,0.44199999999999995
95,40.0,5.0,0.44899999999999995,0.45199999999999996
96,40.0,6.0,0.46699999999999997,0.45399999999999996
97,40.0,7.0,0.4475,0.4625
98,40.0,8.0,0.44099999999999995,0.42500000000000004
99,40.0,9.0,0.4685,0.43200000000000005
