,m,r,5
0,0.0,0.0,0.1905
1,0.0,1.0,0.18999999999999995
2,0.0,2.0,0.21099999999999997
3,0.0,3.0,0.1755
4,0.0,4.0,0.18500000000000005
5,1.0,0.0,0.16500000000000004
6,1.0,1.0,0.17149999999999999
7,1.0,2.0,0.16549999999999998
8,1.0,3.0,0.17000000000000004
9,1.0,4.0,0.1725
10,2.0,0.0,0.517
11,2.0,1.0,0.5035000000000001
12,2.0,2.0,0.5305
13,2.0,3.0,0.5335
14,2.0,4.0,0.5295000000000001
15,3.0,0.0,0.632
16,3.0,1.0,0.6485000000000001
17,3.0,2.0,0.6305000000000001
18,3.0,3.0,0.562
19,3.0,4.0,0.6465000000000001
20,4.0,0.0,0.606
21,4.0,1.0,0.5795
22,4.0,2.0,0.606
23,4.0,3.0,0.44799999999999995
24,4.0,4.0,0.4575
25,5.0,0.0,0.6165
26,5.0,1.0,0.585
27,5.0,2.0,0.6245
28,5.0,3.0,0.648
29,5.0,4.0,0.591
30,10.0,0.0,0.6165
31,10.0,1.0,0.611
32,10.0,2.0,0.5954999999999999
33,10.0,3.0,0.5705
34,10.0,4.0,0.575
35,20.0,0.0,0.509
36,20.0,1.0,0.5329999999999999
37,20.0,2.0,0.6214999999999999
38,20.0,3.0,0.626
39,20.0,4.0,0.6114999999999999
40,30.0,0.0,0.6154999999999999
41,30.0,1.0,0.614
42,30.0,2.0,0.611
43,30.0,3.0,0.6105
44,30.0,4.0,0.6025
45,40.0,0.0,0.605
46,40.0,1.0,0.474
47,40.0,2.0,0.61
48,40.0,3.0,0.61
49,40.0,4.0,0.5925
