,m,r,1,3
0,0.0,0.0,0.3375,0.34199999999999997
1,0.0,1.0,0.33599999999999997,0.35450000000000004
2,0.0,2.0,0.39949999999999997,0.33999999999999997
3,0.0,3.0,0.38049999999999995,0.32399999999999995
4,0.0,4.0,0.346,0.361
5,0.0,5.0,0.33699999999999997,0.398
6,0.0,6.0,0.3245,0.36150000000000004
7,0.0,7.0,0.372,0.31899999999999995
8,0.0,8.0,0.36050000000000004,0.33599999999999997
9,0.0,9.0,0.345,0.361
10,1.0,0.0,0.3065,0.34199999999999997
11,1.0,1.0,0.30300000000000005,0.354
12,1.0,2.0,0.3155,0.3375
13,1.0,3.0,0.3035,0.353
14,1.0,4.0,0.39949999999999997,0.36550000000000005
15,1.0,5.0,0.352,0.344
16,1.0,6.0,0.35750000000000004,0.36250000000000004
17,1.0,7.0,0.38849999999999996,0.3175
18,1.0,8.0,0.32699999999999996,0.3205
19,1.0,9.0,0.32499999999999996,0.32999999999999996
20,2.0,0.0,0.35950000000000004,0.2815
21,2.0,1.0,0.3345,0.32699999999999996
22,2.0,2.0,0.33599999999999997,0.2835
23,2.0,3.0,0.36750000000000005,0.31000000000000005
24,2.0,4.0,0.3115,0.35650000000000004
25,2.0,5.0,0.37,0.32599999999999996
26,2.0,6.0,0.3425,0.33599999999999997
27,2.0,7.0,0.3245,0.3195
28,2.0,8.0,0.2885,0.346
29,2.0,9.0,0.3405,0.3425
30,3.0,0.0,0.367,0.32599999999999996
31,3.0,1.0,0.3235,0.3375
32,3.0,2.0,0.36,0.36450000000000005
33,3.0,3.0,0.35450000000000004,0.3405
34,3.0,4.0,0.3315,0.3105
35,3.0,5.0,0.34550000000000003,0.32899999999999996
36,3.0,6.0,0.3275,0.33299999999999996
37,3.0,7.0,0.349,0.3325
38,3.0,8.0,0.31699999999999995,0.34850000000000003
39,3.0,9.0,0.363,0.3165
40,4.0,0.0,0.368,0.34299999999999997
41,4.0,1.0,0.34099999999999997,0.3305
42,4.0,2.0,0.3355,0.3395
43,4.0,3.0,0.364,0.29900000000000004
44,4.0,4.0,0.34199999999999997,0.3005
45,4.0,5.0,0.2995,0.365
46,4.0,6.0,0.3065,0.344
47,4.0,7.0,0.3085,0.29400000000000004
48,4.0,8.0,0.3095,0.3065
49,4.0,9.0,0.32799999999999996,0.32699999999999996
50,5.0,0.0,0.3435,0.356
51,5.0,1.0,0.36750000000000005,0.3405
52,5.0,2.0,0.3085,0.3115
53,5.0,3.0,0.31000000000000005,0.32299999999999995
54,5.0,4.0,0.3255,0.3035
55,5.0,5.0,0.3095,0.33699999999999997
56,5.0,6.0,0.3035,0.33799999999999997
57,5.0,7.0,0.33499999999999996,0.3295
58,5.0,8.0,0.34950000000000003,0.2935
59,5.0,9.0,0.31499999999999995,0.3015
60,10.0,0.0,0.33799999999999997,0.2885
61,10.0,1.0,0.2945,0.348
62,10.0,2.0,0.3075,0.3135
63,10.0,3.0,0.3155,0.31299999999999994
64,10.0,4.0,0.30000000000000004,0.29000000000000004
65,10.0,5.0,0.2965,0.29500000000000004
66,10.0,6.0,0.32899999999999996,0.2845
67,10.0,7.0,0.31100000000000005,0.3295
68,10.0,8.0,0.263,0.3255
69,10.0,9.0,0.263,0.3175
70,20.0,0.0,0.2885,0.28900000000000003
71,20.0,1.0,0.354,0.2865
72,20.0,2.0,0.29100000000000004,0.3105
73,20.0,3.0,0.31499999999999995,0.31399999999999995
74,20.0,4.0,0.3425,0.272
75,20.0,5.0,0.29700000000000004,0.32099999999999995
76,20.0,6.0,0.33199999999999996,0.2965
77,20.0,7.0,0.27749999999999997,0.3345
78,20.0,8.0,0.28300000000000003,0.3115
79,20.0,9.0,0.393,0.27749999999999997
80,30.0,0.0,0.2835,0.27
81,30.0,1.0,0.3105,0.2815
82,30.0,2.0,0.3405,0.252
83,30.0,3.0,0.31399999999999995,0.3055
84,30.0,4.0,0.2925,0.263
85,30.0,5.0,0.2955,0.25849999999999995
