,m,r,1
0,0.0,0.0,0.26849999999999996
1,0.0,1.0,0.255
2,0.0,2.0,0.261
3,0.0,3.0,0.20399999999999996
4,0.0,4.0,0.18000000000000005
5,0.0,5.0,0.27149999999999996
6,0.0,6.0,0.1735
7,0.0,7.0,0.1815
8,0.0,8.0,0.21550000000000002
9,0.0,9.0,0.22950000000000004
10,1.0,0.0,0.25849999999999995
11,1.0,1.0,0.243
12,1.0,2.0,0.28500000000000003
13,1.0,3.0,0.25549999999999995
14,1.0,4.0,0.17800000000000005
15,1.0,5.0,0.1885
16,1.0,6.0,0.2925
17,1.0,7.0,0.1825
18,1.0,8.0,0.22150000000000003
19,1.0,9.0,0.21550000000000002
20,2.0,0.0,0.18500000000000005
21,2.0,1.0,0.22199999999999998
22,2.0,2.0,0.22650000000000003
23,2.0,3.0,0.249
24,2.0,4.0,0.20999999999999996
25,2.0,5.0,0.17000000000000004
26,2.0,6.0,0.15800000000000003
27,2.0,7.0,0.21850000000000003
28,2.0,8.0,0.21650000000000003
29,2.0,9.0,0.22199999999999998
30,3.0,0.0,0.23250000000000004
31,3.0,1.0,0.1815
32,3.0,2.0,0.20399999999999996
33,3.0,3.0,0.21799999999999997
34,3.0,4.0,0.242
35,3.0,5.0,0.16549999999999998
36,3.0,6.0,0.15949999999999998
37,3.0,7.0,0.22050000000000003
38,3.0,8.0,0.1925
39,3.0,9.0,0.1825
40,4.0,0.0,0.22350000000000003
41,4.0,1.0,0.246
42,4.0,2.0,0.22399999999999998
43,4.0,3.0,0.1975
44,4.0,4.0,0.16700000000000004
45,4.0,5.0,0.1905
46,4.0,6.0,0.18600000000000005
47,4.0,7.0,0.18300000000000005
48,4.0,8.0,0.23950000000000005
49,4.0,9.0,0.14649999999999996
50,5.0,0.0,0.269
51,5.0,1.0,0.1795
52,5.0,2.0,0.18799999999999994
53,5.0,3.0,0.15849999999999997
54,5.0,4.0,0.1855
55,5.0,5.0,0.16700000000000004
56,5.0,6.0,0.21250000000000002
57,5.0,7.0,0.22099999999999997
58,5.0,8.0,0.16849999999999998
59,5.0,9.0,0.16200000000000003
60,10.0,0.0,0.20950000000000002
61,10.0,1.0,0.15349999999999997
62,10.0,2.0,0.21499999999999997
63,10.0,3.0,0.19499999999999995
64,10.0,4.0,0.15449999999999997
65,10.0,5.0,0.14849999999999997
66,10.0,6.0,0.19299999999999995
67,10.0,7.0,0.16900000000000004
68,10.0,8.0,0.15249999999999997
69,10.0,9.0,0.14700000000000002
70,20.0,0.0,0.12050000000000005
71,20.0,1.0,0.16200000000000003
72,20.0,2.0,0.14900000000000002
73,20.0,3.0,0.13249999999999995
74,20.0,4.0,0.17200000000000004
75,20.0,5.0,0.15949999999999998
76,20.0,6.0,0.15100000000000002
77,20.0,7.0,0.16549999999999998
78,20.0,8.0,0.15000000000000002
79,20.0,9.0,0.16200000000000003
80,30.0,0.0,0.16300000000000003
81,30.0,1.0,0.16200000000000003
82,30.0,2.0,0.14749999999999996
83,30.0,3.0,0.16649999999999998
84,30.0,4.0,0.17100000000000004
85,30.0,5.0,0.16300000000000003
86,30.0,6.0,0.15749999999999997
87,30.0,7.0,0.17149999999999999
88,30.0,8.0,0.12749999999999995
89,30.0,9.0,0.16749999999999998
90,40.0,0.0,0.14749999999999996
91,40.0,1.0,0.124
92,40.0,2.0,0.15449999999999997
93,40.0,3.0,0.13249999999999995
94,40.0,4.0,0.16800000000000004
95,40.0,5.0,0.14649999999999996
96,40.0,6.0,0.20999999999999996
97,40.0,7.0,0.17100000000000004
98,40.0,8.0,0.14900000000000002
99,40.0,9.0,0.13749999999999996
100,60.0,0.0,0.129
101,60.0,1.0,0.15049999999999997
102,60.0,2.0,0.1785
103,60.0,3.0,0.13749999999999996
104,60.0,4.0,0.137
105,60.0,5.0,0.12649999999999995
106,60.0,6.0,0.14200000000000002
107,60.0,7.0,0.14100000000000001
108,60.0,8.0,0.15549999999999997
109,60.0,9.0,0.12549999999999994
110,70.0,0.0,0.14649999999999996
111,70.0,1.0,0.127
112,70.0,2.0,0.14100000000000001
113,70.0,3.0,0.124
114,70.0,4.0,0.13849999999999996
115,70.0,5.0,0.136
116,70.0,6.0,0.118
117,70.0,7.0,0.16000000000000003
118,70.0,8.0,0.11350000000000005
119,70.0,9.0,0.14900000000000002
120,80.0,0.0,0.13949999999999996
121,80.0,1.0,0.15249999999999997
122,80.0,2.0,0.11699999999999999
123,80.0,3.0,0.17049999999999998
124,80.0,4.0,0.11850000000000005
125,80.0,5.0,0.11699999999999999
126,80.0,6.0,0.12749999999999995
127,80.0,7.0,0.11399999999999999
128,80.0,8.0,0.11650000000000005
129,80.0,9.0,0.14149999999999996
130,90.0,0.0,0.14549999999999996
131,90.0,1.0,0.125
132,90.0,2.0,0.15049999999999997
133,90.0,3.0,0.12350000000000005
134,90.0,4.0,0.17200000000000004
135,90.0,5.0,0.134
136,90.0,6.0,0.128
137,90.0,7.0,0.11950000000000005
138,90.0,8.0,0.14749999999999996
139,90.0,9.0,0.15149999999999997
