,m,r,5
0,0.0,0.0,0.30400000000000005
1,0.0,1.0,0.2975
2,0.0,2.0,0.30200000000000005
3,0.0,3.0,0.30500000000000005
4,0.0,4.0,0.29800000000000004
5,0.0,5.0,0.30500000000000005
6,0.0,6.0,0.3035
7,0.0,7.0,0.29800000000000004
8,0.0,8.0,0.3075
9,0.0,9.0,0.2895
10,1.0,0.0,0.31100000000000005
11,1.0,1.0,0.2955
12,1.0,2.0,0.3155
13,1.0,3.0,0.31499999999999995
14,1.0,4.0,0.29500000000000004
15,1.0,5.0,0.2915
16,1.0,6.0,0.29700000000000004
17,1.0,7.0,0.2945
18,1.0,8.0,0.2955
19,1.0,9.0,0.30300000000000005
20,2.0,0.0,0.277
21,2.0,1.0,0.2945
22,2.0,2.0,0.3035
23,2.0,3.0,0.29200000000000004
24,2.0,4.0,0.30300000000000005
25,2.0,5.0,0.2865
26,2.0,6.0,0.2905
27,2.0,7.0,0.2835
28,2.0,8.0,0.28500000000000003
29,2.0,9.0,0.28900000000000003
30,3.0,0.0,0.278
31,3.0,1.0,0.29400000000000004
32,3.0,2.0,0.2825
33,3.0,3.0,0.281
34,3.0,4.0,0.27549999999999997
35,3.0,5.0,0.28400000000000003
36,3.0,6.0,0.2815
37,3.0,7.0,0.2915
38,3.0,8.0,0.2895
39,3.0,9.0,0.28600000000000003
40,4.0,0.0,0.27549999999999997
41,4.0,1.0,0.29800000000000004
42,4.0,2.0,0.29100000000000004
43,4.0,3.0,0.2835
44,4.0,4.0,0.30300000000000005
45,4.0,5.0,0.28900000000000003
46,4.0,6.0,0.2945
47,4.0,7.0,0.2865
48,4.0,8.0,0.29400000000000004
49,4.0,9.0,0.29200000000000004
50,5.0,0.0,0.2985
51,5.0,1.0,0.3025
52,5.0,2.0,0.29500000000000004
53,5.0,3.0,0.29100000000000004
54,5.0,4.0,0.29000000000000004
55,5.0,5.0,0.29200000000000004
56,5.0,6.0,0.2875
57,5.0,7.0,0.28600000000000003
58,5.0,8.0,0.2905
59,5.0,9.0,0.28900000000000003
60,10.0,0.0,0.2885
61,10.0,1.0,0.2905
62,10.0,2.0,0.30200000000000005
63,10.0,3.0,0.3045
64,10.0,4.0,0.29800000000000004
65,10.0,5.0,0.2925
66,10.0,6.0,0.29200000000000004
67,10.0,7.0,0.30900000000000005
68,10.0,8.0,0.29600000000000004
69,10.0,9.0,0.28800000000000003
70,20.0,0.0,0.2945
71,20.0,1.0,0.30300000000000005
72,20.0,2.0,0.30100000000000005
73,20.0,3.0,0.30100000000000005
74,20.0,4.0,0.30300000000000005
75,20.0,5.0,0.3005
76,20.0,6.0,0.2945
77,20.0,7.0,0.2915
78,20.0,8.0,0.29700000000000004
79,20.0,9.0,0.29300000000000004
