,m,r,3
0,0.0,0.0,0.30400000000000005
1,0.0,1.0,0.2975
2,0.0,2.0,0.30200000000000005
3,0.0,3.0,0.30500000000000005
4,0.0,4.0,0.29800000000000004
5,0.0,5.0,0.30500000000000005
6,0.0,6.0,0.3035
7,0.0,7.0,0.29800000000000004
8,0.0,8.0,0.3075
9,0.0,9.0,0.2895
10,1.0,0.0,0.31999999999999995
11,1.0,1.0,0.30400000000000005
12,1.0,2.0,0.30700000000000005
13,1.0,3.0,0.28
14,1.0,4.0,0.29800000000000004
15,1.0,5.0,0.29800000000000004
16,1.0,6.0,0.31000000000000005
17,1.0,7.0,0.3055
18,1.0,8.0,0.28900000000000003
19,1.0,9.0,0.2935
20,2.0,0.0,0.2975
21,2.0,1.0,0.2915
22,2.0,2.0,0.29600000000000004
23,2.0,3.0,0.29800000000000004
24,2.0,4.0,0.30600000000000005
25,2.0,5.0,0.28400000000000003
26,2.0,6.0,0.2985
27,2.0,7.0,0.29700000000000004
28,2.0,8.0,0.2905
29,2.0,9.0,0.30200000000000005
30,3.0,0.0,0.27549999999999997
31,3.0,1.0,0.2845
32,3.0,2.0,0.29700000000000004
33,3.0,3.0,0.29500000000000004
34,3.0,4.0,0.2835
35,3.0,5.0,0.2935
36,3.0,6.0,0.28400000000000003
37,3.0,7.0,0.2865
38,3.0,8.0,0.3045
39,3.0,9.0,0.28200000000000003
40,4.0,0.0,0.29400000000000004
41,4.0,1.0,0.2835
42,4.0,2.0,0.30000000000000004
43,4.0,3.0,0.278
44,4.0,4.0,0.28500000000000003
45,4.0,5.0,0.28200000000000003
46,4.0,6.0,0.28500000000000003
47,4.0,7.0,0.279
48,4.0,8.0,0.3085
49,4.0,9.0,0.2965
50,5.0,0.0,0.2885
51,5.0,1.0,0.28600000000000003
52,5.0,2.0,0.28400000000000003
53,5.0,3.0,0.279
54,5.0,4.0,0.281
55,5.0,5.0,0.29700000000000004
56,5.0,6.0,0.29000000000000004
57,5.0,7.0,0.28300000000000003
58,5.0,8.0,0.277
59,5.0,9.0,0.28900000000000003
60,10.0,0.0,0.2815
61,10.0,1.0,0.2845
62,10.0,2.0,0.28500000000000003
63,10.0,3.0,0.28600000000000003
64,10.0,4.0,0.27549999999999997
65,10.0,5.0,0.271
66,10.0,6.0,0.279
67,10.0,7.0,0.27649999999999997
68,10.0,8.0,0.27249999999999996
69,10.0,9.0,0.27149999999999996
70,20.0,0.0,0.2825
71,20.0,1.0,0.278
72,20.0,2.0,0.29200000000000004
73,20.0,3.0,0.279
74,20.0,4.0,0.28300000000000003
75,20.0,5.0,0.28800000000000003
76,20.0,6.0,0.26349999999999996
77,20.0,7.0,0.27
78,20.0,8.0,0.27649999999999997
79,20.0,9.0,0.2825
