,m,r,3
0,0.0,0.0,0.30400000000000005
1,0.0,1.0,0.2975
2,0.0,2.0,0.30200000000000005
3,0.0,3.0,0.30500000000000005
4,0.0,4.0,0.29800000000000004
5,0.0,5.0,0.30500000000000005
6,0.0,6.0,0.3035
7,0.0,7.0,0.29800000000000004
8,0.0,8.0,0.3075
9,0.0,9.0,0.2895
10,1.0,0.0,0.3085
11,1.0,1.0,0.279
12,1.0,2.0,0.30200000000000005
13,1.0,3.0,0.2945
14,1.0,4.0,0.29900000000000004
15,1.0,5.0,0.2865
16,1.0,6.0,0.3035
17,1.0,7.0,0.30000000000000004
18,1.0,8.0,0.3055
19,1.0,9.0,0.2955
20,2.0,0.0,0.2875
21,2.0,1.0,0.281
22,2.0,2.0,0.29300000000000004
23,2.0,3.0,0.2965
24,2.0,4.0,0.28800000000000003
25,2.0,5.0,0.2955
26,2.0,6.0,0.27749999999999997
27,2.0,7.0,0.29800000000000004
28,2.0,8.0,0.27849999999999997
29,2.0,9.0,0.28400000000000003
30,3.0,0.0,0.29100000000000004
31,3.0,1.0,0.28
32,3.0,2.0,0.281
33,3.0,3.0,0.26949999999999996
34,3.0,4.0,0.2915
35,3.0,5.0,0.29000000000000004
36,3.0,6.0,0.279
37,3.0,7.0,0.2825
38,3.0,8.0,0.2815
39,3.0,9.0,0.28500000000000003
40,4.0,0.0,0.28800000000000003
41,4.0,1.0,0.27449999999999997
42,4.0,2.0,0.27649999999999997
43,4.0,3.0,0.28600000000000003
44,4.0,4.0,0.2895
45,4.0,5.0,0.26849999999999996
46,4.0,6.0,0.2835
47,4.0,7.0,0.2895
48,4.0,8.0,0.2855
49,4.0,9.0,0.29100000000000004
50,5.0,0.0,0.2835
51,5.0,1.0,0.28700000000000003
52,5.0,2.0,0.267
53,5.0,3.0,0.2815
54,5.0,4.0,0.271
55,5.0,5.0,0.27849999999999997
56,5.0,6.0,0.28200000000000003
57,5.0,7.0,0.2845
58,5.0,8.0,0.29000000000000004
59,5.0,9.0,0.27949999999999997
60,10.0,0.0,0.28049999999999997
61,10.0,1.0,0.28700000000000003
62,10.0,2.0,0.2895
63,10.0,3.0,0.276
64,10.0,4.0,0.27749999999999997
65,10.0,5.0,0.27949999999999997
66,10.0,6.0,0.28300000000000003
67,10.0,7.0,0.28400000000000003
68,10.0,8.0,0.279
69,10.0,9.0,0.274
70,20.0,0.0,0.28049999999999997
71,20.0,1.0,0.2825
72,20.0,2.0,0.2895
73,20.0,3.0,0.2895
74,20.0,4.0,0.2845
75,20.0,5.0,0.28300000000000003
76,20.0,6.0,0.277
77,20.0,7.0,0.29400000000000004
78,20.0,8.0,0.281
79,20.0,9.0,0.276
