,m,r,10
0,0.0,0.0,0.3375
1,0.0,1.0,0.3185
2,0.0,2.0,0.33599999999999997
3,0.0,3.0,0.33199999999999996
4,0.0,4.0,0.3295
5,0.0,5.0,0.32499999999999996
6,0.0,6.0,0.31799999999999995
7,0.0,7.0,0.32799999999999996
8,0.0,8.0,0.3425
9,0.0,9.0,0.3215
10,3.0,0.0,0.259
11,3.0,1.0,0.264
12,3.0,2.0,0.246
13,3.0,3.0,0.247
14,3.0,4.0,0.253
15,3.0,5.0,0.26349999999999996
16,3.0,6.0,0.24
17,3.0,7.0,0.257
18,3.0,8.0,0.26
19,3.0,9.0,0.25449999999999995
20,5.0,0.0,0.23750000000000004
21,5.0,1.0,0.244
22,5.0,2.0,0.239
23,5.0,3.0,0.24050000000000005
24,5.0,4.0,0.241
25,5.0,5.0,0.24750000000000005
26,5.0,6.0,0.244
27,5.0,7.0,0.24450000000000005
28,5.0,8.0,0.23950000000000005
29,5.0,9.0,0.24050000000000005
30,10.0,0.0,0.23299999999999998
31,10.0,1.0,0.23350000000000004
32,10.0,2.0,0.23450000000000004
33,10.0,3.0,0.22650000000000003
34,10.0,4.0,0.24350000000000005
35,10.0,5.0,0.23199999999999998
36,10.0,6.0,0.23450000000000004
37,10.0,7.0,0.23350000000000004
38,10.0,8.0,0.23650000000000004
39,10.0,9.0,0.23750000000000004
40,20.0,0.0,0.21399999999999997
41,20.0,1.0,0.21150000000000002
42,20.0,2.0,0.20950000000000002
43,20.0,3.0,0.20999999999999996
44,20.0,4.0,0.20499999999999996
45,20.0,5.0,0.21199999999999997
46,20.0,6.0,0.20350000000000001
47,20.0,7.0,0.21050000000000002
48,20.0,8.0,0.22250000000000003
49,20.0,9.0,0.21099999999999997
50,30.0,0.0,0.20699999999999996
51,30.0,1.0,0.1995
52,30.0,2.0,0.20750000000000002
53,30.0,3.0,0.1945
54,30.0,4.0,0.19599999999999995
55,30.0,5.0,0.19599999999999995
56,30.0,6.0,0.21099999999999997
57,30.0,7.0,0.19699999999999995
58,30.0,8.0,0.21399999999999997
59,30.0,9.0,0.1965
60,40.0,0.0,0.19099999999999995
61,40.0,1.0,0.18100000000000005
62,40.0,2.0,0.17500000000000004
63,40.0,3.0,0.19399999999999995
64,40.0,4.0,0.18899999999999995
65,40.0,5.0,0.1875
66,40.0,6.0,0.1895
67,40.0,7.0,0.1835
68,40.0,8.0,0.19599999999999995
69,40.0,9.0,0.18700000000000006
70,50.0,0.0,0.17700000000000005
71,50.0,1.0,0.18999999999999995
72,50.0,2.0,0.1825
73,50.0,3.0,0.18000000000000005
74,50.0,4.0,0.18600000000000005
75,50.0,5.0,0.17400000000000004
76,50.0,6.0,0.1775
77,50.0,7.0,0.16849999999999998
78,50.0,8.0,0.17500000000000004
79,50.0,9.0,0.17300000000000004
