,m,r,10
0,0.0,0.0,0.31599999999999995
1,0.0,1.0,0.32299999999999995
2,0.0,2.0,0.3165
3,0.0,3.0,0.3305
4,0.0,4.0,0.3245
5,0.0,5.0,0.32699999999999996
6,0.0,6.0,0.33499999999999996
7,0.0,7.0,0.32799999999999996
8,0.0,8.0,0.33599999999999997
9,0.0,9.0,0.32299999999999995
10,3.0,0.0,0.252
11,3.0,1.0,0.256
12,3.0,2.0,0.261
13,3.0,3.0,0.24750000000000005
14,3.0,4.0,0.26749999999999996
15,3.0,5.0,0.25649999999999995
16,3.0,6.0,0.257
17,3.0,7.0,0.25549999999999995
18,3.0,8.0,0.252
19,3.0,9.0,0.258
20,5.0,0.0,0.24050000000000005
21,5.0,1.0,0.252
22,5.0,2.0,0.244
23,5.0,3.0,0.243
24,5.0,4.0,0.23850000000000005
25,5.0,5.0,0.25349999999999995
26,5.0,6.0,0.25049999999999994
27,5.0,7.0,0.23750000000000004
28,5.0,8.0,0.24350000000000005
29,5.0,9.0,0.24350000000000005
30,10.0,0.0,0.236
31,10.0,1.0,0.235
32,10.0,2.0,0.23450000000000004
33,10.0,3.0,0.236
34,10.0,4.0,0.236
35,10.0,5.0,0.22850000000000004
36,10.0,6.0,0.237
37,10.0,7.0,0.23450000000000004
38,10.0,8.0,0.23250000000000004
39,10.0,9.0,0.22750000000000004
40,20.0,0.0,0.21699999999999997
41,20.0,1.0,0.21950000000000003
42,20.0,2.0,0.20699999999999996
43,20.0,3.0,0.2025
44,20.0,4.0,0.20799999999999996
45,20.0,5.0,0.20899999999999996
46,20.0,6.0,0.20999999999999996
47,20.0,7.0,0.20550000000000002
48,20.0,8.0,0.20899999999999996
49,20.0,9.0,0.21150000000000002
50,30.0,0.0,0.19399999999999995
51,30.0,1.0,0.1955
52,30.0,2.0,0.19799999999999995
53,30.0,3.0,0.1975
54,30.0,4.0,0.1865
55,30.0,5.0,0.1955
56,30.0,6.0,0.19099999999999995
57,30.0,7.0,0.1955
58,30.0,8.0,0.20550000000000002
59,30.0,9.0,0.19599999999999995
60,40.0,0.0,0.1925
61,40.0,1.0,0.1975
62,40.0,2.0,0.1875
63,40.0,3.0,0.18600000000000005
64,40.0,4.0,0.1815
65,40.0,5.0,0.1855
66,40.0,6.0,0.1845
67,40.0,7.0,0.19099999999999995
68,40.0,8.0,0.1945
69,40.0,9.0,0.19099999999999995
70,50.0,0.0,0.1745
71,50.0,1.0,0.1805
72,50.0,2.0,0.16900000000000004
73,50.0,3.0,0.18400000000000005
74,50.0,4.0,0.17600000000000005
75,50.0,5.0,0.1745
76,50.0,6.0,0.1855
77,50.0,7.0,0.16100000000000003
78,50.0,8.0,0.16549999999999998
79,50.0,9.0,0.18000000000000005
