,m,r,135,135_alpha
0,0.0,0.0,0.30400000000000005,
1,0.0,1.0,0.2975,
2,0.0,2.0,0.30200000000000005,
3,0.0,3.0,0.30500000000000005,
4,0.0,4.0,0.29800000000000004,
5,0.0,5.0,0.30500000000000005,
6,0.0,6.0,0.3035,
7,0.0,7.0,0.29800000000000004,
8,0.0,8.0,0.3075,
9,0.0,9.0,0.2895,
10,3.0,0.0,0.27149999999999996,
11,3.0,1.0,0.27049999999999996,
12,3.0,2.0,0.27149999999999996,
13,3.0,3.0,0.2815,
14,3.0,4.0,0.26549999999999996,
15,3.0,5.0,0.27049999999999996,
16,3.0,6.0,0.271,
17,3.0,7.0,0.29600000000000004,
18,3.0,8.0,0.2895,
19,3.0,9.0,0.29200000000000004,
20,5.0,0.0,0.2835,
21,5.0,1.0,0.27049999999999996,
22,5.0,2.0,0.273,
23,5.0,3.0,0.27749999999999997,
24,5.0,4.0,0.262,
25,5.0,5.0,0.26549999999999996,
26,5.0,6.0,0.27849999999999997,
27,5.0,7.0,0.2825,
28,5.0,8.0,0.26649999999999996,
29,5.0,9.0,0.2825,
30,10.0,0.0,0.29000000000000004,
31,10.0,1.0,0.29100000000000004,
32,10.0,2.0,0.2895,
33,10.0,3.0,0.276,
34,10.0,4.0,0.2825,
35,10.0,5.0,0.29400000000000004,
36,10.0,6.0,0.29700000000000004,
37,10.0,7.0,0.3035,
38,10.0,8.0,0.2905,
39,10.0,9.0,0.29300000000000004,
40,20.0,0.0,0.28600000000000003,
41,20.0,1.0,0.28800000000000003,
42,20.0,2.0,0.2935,
43,20.0,3.0,0.29500000000000004,
44,20.0,4.0,0.28300000000000003,
45,20.0,5.0,0.29000000000000004,
46,20.0,6.0,0.28049999999999997,
47,20.0,7.0,0.28500000000000003,
48,20.0,8.0,0.2925,
49,20.0,9.0,0.29200000000000004,
50,30.0,0.0,0.28300000000000003,
51,30.0,1.0,0.2895,
52,30.0,2.0,0.3045,
53,30.0,3.0,0.2915,
54,30.0,4.0,0.30100000000000005,
55,30.0,5.0,0.2995,
56,30.0,6.0,0.29100000000000004,
57,30.0,7.0,0.2875,
58,30.0,8.0,0.2915,
59,30.0,9.0,0.3015,
60,40.0,0.0,0.2935,
61,40.0,1.0,0.28500000000000003,
62,40.0,2.0,0.31399999999999995,
63,40.0,3.0,0.277,
64,40.0,4.0,0.30200000000000005,
65,40.0,5.0,0.3035,
66,40.0,6.0,0.28500000000000003,
67,40.0,7.0,0.2885,
68,40.0,8.0,0.2845,
69,40.0,9.0,0.26949999999999996,
70,50.0,0.0,0.30400000000000005,
71,50.0,1.0,0.30200000000000005,
72,50.0,2.0,0.2995,
73,50.0,3.0,0.3085,
74,50.0,4.0,0.3175,
75,50.0,5.0,0.30800000000000005,
76,50.0,6.0,0.2925,
77,50.0,7.0,0.3075,
78,50.0,8.0,0.30600000000000005,
79,50.0,9.0,0.3055,
