,m,r,135
0,0.0,0.0,0.3275
1,0.0,1.0,0.3435
2,0.0,2.0,0.32099999999999995
3,0.0,3.0,0.3345
4,0.0,4.0,0.3155
5,0.0,5.0,0.33799999999999997
6,0.0,6.0,0.32599999999999996
7,0.0,7.0,0.3285
8,0.0,8.0,0.33499999999999996
9,0.0,9.0,0.32899999999999996
10,3.0,0.0,0.29000000000000004
11,3.0,1.0,0.3215
12,3.0,2.0,0.3075
13,3.0,3.0,0.3095
14,3.0,4.0,0.31499999999999995
15,3.0,5.0,0.3055
16,3.0,6.0,0.3155
17,3.0,7.0,0.3165
18,3.0,8.0,0.30200000000000005
19,3.0,9.0,0.30200000000000005
20,5.0,0.0,0.2955
21,5.0,1.0,0.31200000000000006
22,5.0,2.0,0.31499999999999995
23,5.0,3.0,0.29600000000000004
24,5.0,4.0,0.2955
25,5.0,5.0,0.2965
26,5.0,6.0,0.29000000000000004
27,5.0,7.0,0.3075
28,5.0,8.0,0.30400000000000005
29,5.0,9.0,0.3125
30,10.0,0.0,0.31200000000000006
31,10.0,1.0,0.30400000000000005
32,10.0,2.0,0.2915
33,10.0,3.0,0.31599999999999995
34,10.0,4.0,0.3005
35,10.0,5.0,0.30200000000000005
36,10.0,6.0,0.31399999999999995
37,10.0,7.0,0.3045
38,10.0,8.0,0.30500000000000005
39,10.0,9.0,0.3165
40,20.0,0.0,0.30700000000000005
41,20.0,1.0,0.3005
42,20.0,2.0,0.3105
43,20.0,3.0,0.30300000000000005
44,20.0,4.0,0.30700000000000005
45,20.0,5.0,0.31599999999999995
46,20.0,6.0,0.3025
47,20.0,7.0,0.2845
48,20.0,8.0,0.3035
49,20.0,9.0,0.3065
