,m,r,45,45_alpha
0,0.0,0.0,0.3245,0.5
1,0.0,1.0,0.33399999999999996,0.5
2,0.0,2.0,0.3255,0.5
3,0.0,3.0,0.3315,0.5
4,0.0,4.0,0.3165,0.5
5,0.0,5.0,0.33499999999999996,0.5
6,0.0,6.0,0.32299999999999995,0.5
7,0.0,7.0,0.3345,0.5
8,0.0,8.0,0.3295,0.5
9,0.0,9.0,0.3185,0.5
10,3.0,0.0,0.276,0.5
11,3.0,1.0,0.27149999999999996,0.5
12,3.0,2.0,0.26049999999999995,0.5
13,3.0,3.0,0.27,0.5
14,3.0,4.0,0.28,0.5
15,3.0,5.0,0.27649999999999997,0.5
16,3.0,6.0,0.26849999999999996,0.5
17,3.0,7.0,0.268,0.5
18,3.0,8.0,0.27349999999999997,0.5
19,3.0,9.0,0.27549999999999997,0.5
20,5.0,0.0,0.266,0.5
21,5.0,1.0,0.27,0.5
22,5.0,2.0,0.25949999999999995,0.5
23,5.0,3.0,0.27449999999999997,0.5
24,5.0,4.0,0.27249999999999996,0.5
25,5.0,5.0,0.26949999999999996,0.5
26,5.0,6.0,0.27949999999999997,0.5
27,5.0,7.0,0.25149999999999995,0.5
28,5.0,8.0,0.272,0.5
29,5.0,9.0,0.2825,0.5
30,10.0,0.0,0.253,0.5
31,10.0,1.0,0.26,0.5
32,10.0,2.0,0.27,0.5
33,10.0,3.0,0.276,0.5
34,10.0,4.0,0.26549999999999996,0.5
35,10.0,5.0,0.26249999999999996,0.5
36,10.0,6.0,0.262,0.5
37,10.0,7.0,0.279,0.5
38,10.0,8.0,0.259,0.5
39,10.0,9.0,0.265,0.5
40,20.0,0.0,0.25949999999999995,0.5
41,20.0,1.0,0.25449999999999995,0.5
42,20.0,2.0,0.28049999999999997,0.5
43,20.0,3.0,0.264,0.5
44,20.0,4.0,0.245,0.5
45,20.0,5.0,0.278,0.5
46,20.0,6.0,0.26649999999999996,0.5
47,20.0,7.0,0.272,0.5
48,20.0,8.0,0.267,0.5
49,20.0,9.0,0.25949999999999995,0.5
