,m,r,45
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,3.0,0.0,0.27449999999999997
11,3.0,1.0,0.276
12,3.0,2.0,0.28300000000000003
13,3.0,3.0,0.277
14,3.0,4.0,0.281
15,3.0,5.0,0.263
16,3.0,6.0,0.277
17,3.0,7.0,0.2855
18,3.0,8.0,0.26549999999999996
19,3.0,9.0,0.28049999999999997
20,5.0,0.0,0.263
21,5.0,1.0,0.26949999999999996
22,5.0,2.0,0.25849999999999995
23,5.0,3.0,0.26749999999999996
24,5.0,4.0,0.26649999999999996
25,5.0,5.0,0.266
26,5.0,6.0,0.26849999999999996
27,5.0,7.0,0.26049999999999995
28,5.0,8.0,0.26449999999999996
29,5.0,9.0,0.259
30,10.0,0.0,0.26949999999999996
31,10.0,1.0,0.275
32,10.0,2.0,0.26249999999999996
33,10.0,3.0,0.26749999999999996
34,10.0,4.0,0.27649999999999997
35,10.0,5.0,0.273
36,10.0,6.0,0.27649999999999997
37,10.0,7.0,0.27249999999999996
38,10.0,8.0,0.278
39,10.0,9.0,0.269
40,20.0,0.0,0.26049999999999995
41,20.0,1.0,0.272
42,20.0,2.0,0.24
43,20.0,3.0,0.259
44,20.0,4.0,0.24650000000000005
45,20.0,5.0,0.246
46,20.0,6.0,0.24750000000000005
47,20.0,7.0,0.24850000000000005
48,20.0,8.0,0.244
49,20.0,9.0,0.26549999999999996
