{'deploy': True, 'tag': '01_prelim/lr', 'seed': 10, 'device': 'cuda:0', 'reps': 1, 'loss': {'α': 0.5, 'tune_α': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [1], 'augment': True, 'n': 50, 'm_n': 0, 'β': 0.5, 'custom_sampler': True}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.02}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.5494, 'train_acc': 0.52, 'task_loss': (0.5494, 0.0)}
{'epoch': 2, 'train_loss': 0.3158, 'train_acc': 0.73, 'task_loss': (0.3158, 0.0)}
{'epoch': 3, 'train_loss': 0.2688, 'train_acc': 0.75, 'task_loss': (0.2688, 0.0)}
{'epoch': 4, 'train_loss': 0.1928, 'train_acc': 0.79, 'task_loss': (0.1928, 0.0)}
{'epoch': 5, 'train_loss': 0.2961, 'train_acc': 0.76, 'task_loss': (0.2961, 0.0)}
{'epoch': 6, 'train_loss': 0.2389, 'train_acc': 0.84, 'task_loss': (0.2389, 0.0)}
{'epoch': 7, 'train_loss': 0.2677, 'train_acc': 0.77, 'task_loss': (0.2677, 0.0)}
{'epoch': 8, 'train_loss': 0.2654, 'train_acc': 0.78, 'task_loss': (0.2654, 0.0)}
{'epoch': 9, 'train_loss': 0.2524, 'train_acc': 0.82, 'task_loss': (0.2524, 0.0)}
{'epoch': 10, 'train_loss': 0.332, 'train_acc': 0.77, 'task_loss': (0.332, 0.0)}
{'epoch': 11, 'train_loss': 0.1204, 'train_acc': 0.92, 'task_loss': (0.1204, 0.0)}
{'epoch': 12, 'train_loss': 0.1863, 'train_acc': 0.88, 'task_loss': (0.1863, 0.0)}
{'epoch': 13, 'train_loss': 0.1647, 'train_acc': 0.88, 'task_loss': (0.1647, 0.0)}
{'epoch': 14, 'train_loss': 0.1394, 'train_acc': 0.9, 'task_loss': (0.1394, 0.0)}
{'epoch': 15, 'train_loss': 0.1108, 'train_acc': 0.92, 'task_loss': (0.1108, 0.0)}
{'epoch': 16, 'train_loss': 0.1536, 'train_acc': 0.88, 'task_loss': (0.1536, 0.0)}
{'epoch': 17, 'train_loss': 0.2117, 'train_acc': 0.85, 'task_loss': (0.2117, 0.0)}
{'epoch': 18, 'train_loss': 0.1357, 'train_acc': 0.88, 'task_loss': (0.1357, 0.0)}
{'epoch': 19, 'train_loss': 0.2377, 'train_acc': 0.84, 'task_loss': (0.2377, 0.0)}
{'epoch': 20, 'train_loss': 0.1908, 'train_acc': 0.84, 'task_loss': (0.1908, 0.0)}
{'epoch': 21, 'train_loss': 0.1058, 'train_acc': 0.92, 'task_loss': (0.1058, 0.0)}
{'epoch': 22, 'train_loss': 0.0918, 'train_acc': 0.92, 'task_loss': (0.0918, 0.0)}
{'epoch': 23, 'train_loss': 0.1351, 'train_acc': 0.87, 'task_loss': (0.1351, 0.0)}
{'epoch': 24, 'train_loss': 0.0959, 'train_acc': 0.93, 'task_loss': (0.0959, 0.0)}
{'epoch': 25, 'train_loss': 0.0862, 'train_acc': 0.92, 'task_loss': (0.0862, 0.0)}
{'epoch': 26, 'train_loss': 0.0791, 'train_acc': 0.94, 'task_loss': (0.0791, 0.0)}
{'epoch': 27, 'train_loss': 0.0891, 'train_acc': 0.92, 'task_loss': (0.0891, 0.0)}
{'epoch': 28, 'train_loss': 0.0882, 'train_acc': 0.94, 'task_loss': (0.0882, 0.0)}
{'epoch': 29, 'train_loss': 0.1698, 'train_acc': 0.9, 'task_loss': (0.1698, 0.0)}
{'epoch': 30, 'train_loss': 0.0918, 'train_acc': 0.92, 'task_loss': (0.0918, 0.0)}
{'epoch': 31, 'train_loss': 0.084, 'train_acc': 0.94, 'task_loss': (0.084, 0.0)}
{'epoch': 32, 'train_loss': 0.0625, 'train_acc': 0.95, 'task_loss': (0.0625, 0.0)}
{'epoch': 33, 'train_loss': 0.0681, 'train_acc': 0.96, 'task_loss': (0.0681, 0.0)}
{'epoch': 34, 'train_loss': 0.0843, 'train_acc': 0.93, 'task_loss': (0.0843, 0.0)}
{'epoch': 35, 'train_loss': 0.0569, 'train_acc': 0.97, 'task_loss': (0.0569, 0.0)}
{'epoch': 36, 'train_loss': 0.0683, 'train_acc': 0.96, 'task_loss': (0.0683, 0.0)}
{'epoch': 37, 'train_loss': 0.0606, 'train_acc': 0.94, 'task_loss': (0.0606, 0.0)}
{'epoch': 38, 'train_loss': 0.0452, 'train_acc': 0.96, 'task_loss': (0.0452, 0.0)}
{'epoch': 39, 'train_loss': 0.0543, 'train_acc': 0.96, 'task_loss': (0.0543, 0.0)}
{'epoch': 40, 'train_loss': 0.0381, 'train_acc': 0.97, 'task_loss': (0.0381, 0.0)}
{'epoch': 41, 'train_loss': 0.0466, 'train_acc': 0.95, 'task_loss': (0.0466, 0.0)}
{'epoch': 42, 'train_loss': 0.0516, 'train_acc': 0.94, 'task_loss': (0.0516, 0.0)}
{'epoch': 43, 'train_loss': 0.0398, 'train_acc': 0.97, 'task_loss': (0.0398, 0.0)}
{'epoch': 44, 'train_loss': 0.031, 'train_acc': 0.98, 'task_loss': (0.031, 0.0)}
