{'deploy': True, 'tag': '01_prelim/lr', 'seed': 10, 'device': 'cuda:0', 'reps': 1, 'loss': {'α': 0.5, 'tune_α': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [1], 'augment': True, 'n': 50, 'm_n': 0, 'β': 0.5, 'custom_sampler': True}, 'hp': {'epochs': 100, 'bs': 32, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.3713, 'train_acc': 0.5, 'task_loss': (0.3713, 0.0)}
{'epoch': 2, 'train_loss': 0.3483, 'train_acc': 0.7, 'task_loss': (0.3483, 0.0)}
{'epoch': 3, 'train_loss': 0.2664, 'train_acc': 0.79, 'task_loss': (0.2664, 0.0)}
{'epoch': 4, 'train_loss': 0.2298, 'train_acc': 0.78, 'task_loss': (0.2298, 0.0)}
{'epoch': 5, 'train_loss': 0.2657, 'train_acc': 0.72, 'task_loss': (0.2657, 0.0)}
{'epoch': 6, 'train_loss': 0.2129, 'train_acc': 0.83, 'task_loss': (0.2129, 0.0)}
{'epoch': 7, 'train_loss': 0.2122, 'train_acc': 0.78, 'task_loss': (0.2122, 0.0)}
{'epoch': 8, 'train_loss': 0.2014, 'train_acc': 0.8, 'task_loss': (0.2014, 0.0)}
{'epoch': 9, 'train_loss': 0.2375, 'train_acc': 0.77, 'task_loss': (0.2375, 0.0)}
{'epoch': 10, 'train_loss': 0.1761, 'train_acc': 0.86, 'task_loss': (0.1761, 0.0)}
{'epoch': 11, 'train_loss': 0.1533, 'train_acc': 0.88, 'task_loss': (0.1533, 0.0)}
{'epoch': 12, 'train_loss': 0.1445, 'train_acc': 0.89, 'task_loss': (0.1445, 0.0)}
{'epoch': 13, 'train_loss': 0.1576, 'train_acc': 0.89, 'task_loss': (0.1576, 0.0)}
{'epoch': 14, 'train_loss': 0.1698, 'train_acc': 0.87, 'task_loss': (0.1698, 0.0)}
{'epoch': 15, 'train_loss': 0.1384, 'train_acc': 0.89, 'task_loss': (0.1384, 0.0)}
{'epoch': 16, 'train_loss': 0.139, 'train_acc': 0.9, 'task_loss': (0.139, 0.0)}
{'epoch': 17, 'train_loss': 0.1693, 'train_acc': 0.84, 'task_loss': (0.1693, 0.0)}
{'epoch': 18, 'train_loss': 0.1518, 'train_acc': 0.86, 'task_loss': (0.1518, 0.0)}
{'epoch': 19, 'train_loss': 0.1537, 'train_acc': 0.85, 'task_loss': (0.1537, 0.0)}
{'epoch': 20, 'train_loss': 0.2025, 'train_acc': 0.81, 'task_loss': (0.2025, 0.0)}
{'epoch': 21, 'train_loss': 0.171, 'train_acc': 0.85, 'task_loss': (0.171, 0.0)}
{'epoch': 22, 'train_loss': 0.145, 'train_acc': 0.91, 'task_loss': (0.145, 0.0)}
{'epoch': 23, 'train_loss': 0.1569, 'train_acc': 0.84, 'task_loss': (0.1569, 0.0)}
{'epoch': 24, 'train_loss': 0.1778, 'train_acc': 0.9, 'task_loss': (0.1778, 0.0)}
{'epoch': 25, 'train_loss': 0.1229, 'train_acc': 0.92, 'task_loss': (0.1229, 0.0)}
{'epoch': 26, 'train_loss': 0.1162, 'train_acc': 0.9, 'task_loss': (0.1162, 0.0)}
{'epoch': 27, 'train_loss': 0.0908, 'train_acc': 0.95, 'task_loss': (0.0908, 0.0)}
{'epoch': 28, 'train_loss': 0.1173, 'train_acc': 0.9, 'task_loss': (0.1173, 0.0)}
{'epoch': 29, 'train_loss': 0.1159, 'train_acc': 0.89, 'task_loss': (0.1159, 0.0)}
{'epoch': 30, 'train_loss': 0.1218, 'train_acc': 0.9, 'task_loss': (0.1218, 0.0)}
{'epoch': 31, 'train_loss': 0.0943, 'train_acc': 0.95, 'task_loss': (0.0943, 0.0)}
{'epoch': 32, 'train_loss': 0.0955, 'train_acc': 0.93, 'task_loss': (0.0955, 0.0)}
{'epoch': 33, 'train_loss': 0.0956, 'train_acc': 0.94, 'task_loss': (0.0956, 0.0)}
{'epoch': 34, 'train_loss': 0.0583, 'train_acc': 0.96, 'task_loss': (0.0583, 0.0)}
{'epoch': 35, 'train_loss': 0.0983, 'train_acc': 0.9, 'task_loss': (0.0983, 0.0)}
{'epoch': 36, 'train_loss': 0.0784, 'train_acc': 0.94, 'task_loss': (0.0784, 0.0)}
{'epoch': 37, 'train_loss': 0.0811, 'train_acc': 0.94, 'task_loss': (0.0811, 0.0)}
{'epoch': 38, 'train_loss': 0.133, 'train_acc': 0.89, 'task_loss': (0.133, 0.0)}
{'epoch': 39, 'train_loss': 0.0858, 'train_acc': 0.93, 'task_loss': (0.0858, 0.0)}
{'epoch': 40, 'train_loss': 0.1263, 'train_acc': 0.89, 'task_loss': (0.1263, 0.0)}
{'epoch': 41, 'train_loss': 0.0739, 'train_acc': 0.95, 'task_loss': (0.0739, 0.0)}
{'epoch': 42, 'train_loss': 0.1353, 'train_acc': 0.91, 'task_loss': (0.1353, 0.0)}
{'epoch': 43, 'train_loss': 0.0661, 'train_acc': 0.93, 'task_loss': (0.0661, 0.0)}
{'epoch': 44, 'train_loss': 0.0692, 'train_acc': 0.94, 'task_loss': (0.0692, 0.0)}
{'epoch': 45, 'train_loss': 0.0438, 'train_acc': 0.98, 'task_loss': (0.0438, 0.0)}
{'epoch': 46, 'train_loss': 0.0549, 'train_acc': 0.98, 'task_loss': (0.0549, 0.0)}
{'epoch': 47, 'train_loss': 0.0726, 'train_acc': 0.92, 'task_loss': (0.0726, 0.0)}
{'epoch': 48, 'train_loss': 0.0862, 'train_acc': 0.93, 'task_loss': (0.0862, 0.0)}
{'epoch': 49, 'train_loss': 0.0369, 'train_acc': 0.98, 'task_loss': (0.0369, 0.0)}
