{'deploy': True, 'tag': '02_beta/ta_sampler_loss', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [4], 'augment': False, 'n': 50, 'm_n': 1, 'beta': 0.2, 'custom_sampler': True}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 1.093, 'train_acc': 0.6047, 'task_loss': (0.6275, 0.4655)}
{'epoch': 2, 'train_loss': 0.9336, 'train_acc': 0.6163, 'task_loss': (0.479, 0.4547)}
{'epoch': 3, 'train_loss': 0.7159, 'train_acc': 0.6914, 'task_loss': (0.3982, 0.3177)}
{'epoch': 4, 'train_loss': 0.4255, 'train_acc': 0.8081, 'task_loss': (0.1841, 0.2413)}
{'epoch': 5, 'train_loss': 0.5134, 'train_acc': 0.8314, 'task_loss': (0.3481, 0.1653)}
{'epoch': 6, 'train_loss': 0.2931, 'train_acc': 0.8642, 'task_loss': (0.1469, 0.1462)}
{'epoch': 7, 'train_loss': 0.2106, 'train_acc': 0.9419, 'task_loss': (0.1249, 0.0857)}
{'epoch': 8, 'train_loss': 0.205, 'train_acc': 0.936, 'task_loss': (0.1132, 0.0918)}
{'epoch': 9, 'train_loss': 0.2161, 'train_acc': 0.8889, 'task_loss': (0.1211, 0.0949)}
{'epoch': 10, 'train_loss': 0.1996, 'train_acc': 0.9244, 'task_loss': (0.113, 0.0867)}
{'epoch': 11, 'train_loss': 0.2576, 'train_acc': 0.8953, 'task_loss': (0.1365, 0.1211)}
{'epoch': 12, 'train_loss': 0.1662, 'train_acc': 0.963, 'task_loss': (0.1183, 0.0479)}
{'epoch': 13, 'train_loss': 0.0884, 'train_acc': 0.9709, 'task_loss': (0.0376, 0.0508)}
{'epoch': 14, 'train_loss': 0.1294, 'train_acc': 0.9767, 'task_loss': (0.1, 0.0294)}
{'epoch': 15, 'train_loss': 0.0336, 'train_acc': 0.9877, 'task_loss': (0.0062, 0.0274)}
{'epoch': 16, 'train_loss': 0.0237, 'train_acc': 1.0, 'task_loss': (0.0114, 0.0122)}
{'epoch': 17, 'train_loss': 0.0149, 'train_acc': 1.0, 'task_loss': (0.007, 0.0079)}
{'epoch': 18, 'train_loss': 0.0152, 'train_acc': 1.0, 'task_loss': (0.0086, 0.0067)}
{'epoch': 19, 'train_loss': 0.0056, 'train_acc': 1.0, 'task_loss': (0.0023, 0.0033)}
{'epoch': 20, 'train_loss': 0.0047, 'train_acc': 1.0, 'task_loss': (0.0026, 0.0021)}
{'epoch': 21, 'train_loss': 0.0103, 'train_acc': 1.0, 'task_loss': (0.0042, 0.0061)}
{'epoch': 22, 'train_loss': 0.0052, 'train_acc': 1.0, 'task_loss': (0.0023, 0.0029)}
{'epoch': 23, 'train_loss': 0.0041, 'train_acc': 1.0, 'task_loss': (0.0014, 0.0027)}
{'epoch': 24, 'train_loss': 0.0035, 'train_acc': 1.0, 'task_loss': (0.0014, 0.0021)}
{'epoch': 25, 'train_loss': 0.0049, 'train_acc': 1.0, 'task_loss': (0.0029, 0.002)}
{'epoch': 26, 'train_loss': 0.0036, 'train_acc': 1.0, 'task_loss': (0.0015, 0.002)}
{'epoch': 27, 'train_loss': 0.0022, 'train_acc': 1.0, 'task_loss': (0.0006, 0.0016)}
{'epoch': 28, 'train_loss': 0.004, 'train_acc': 1.0, 'task_loss': (0.0013, 0.0027)}
{'epoch': 29, 'train_loss': 0.0019, 'train_acc': 1.0, 'task_loss': (0.0007, 0.0013)}
{'epoch': 30, 'train_loss': 0.0019, 'train_acc': 1.0, 'task_loss': (0.0009, 0.001)}
{'epoch': 31, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0008, 0.0012)}
{'epoch': 32, 'train_loss': 0.0029, 'train_acc': 1.0, 'task_loss': (0.0013, 0.0016)}
{'epoch': 33, 'train_loss': 0.0018, 'train_acc': 1.0, 'task_loss': (0.0008, 0.001)}
{'epoch': 34, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0007)}
{'epoch': 35, 'train_loss': 0.0016, 'train_acc': 1.0, 'task_loss': (0.0008, 0.0007)}
{'epoch': 36, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0006)}
{'epoch': 37, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0006, 0.0007)}
{'epoch': 38, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0008)}
{'epoch': 39, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0006, 0.0007)}
{'epoch': 40, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0007)}
{'epoch': 41, 'train_loss': 0.0012, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0006)}
{'epoch': 42, 'train_loss': 0.0019, 'train_acc': 1.0, 'task_loss': (0.001, 0.0009)}
{'epoch': 43, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0006)}
{'epoch': 44, 'train_loss': 0.0014, 'train_acc': 1.0, 'task_loss': (0.0007, 0.0007)}
{'epoch': 45, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0005)}
{'epoch': 46, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0016)}
{'epoch': 47, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0006)}
{'epoch': 48, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0006)}
{'epoch': 49, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0008)}
{'epoch': 50, 'train_loss': 0.0018, 'train_acc': 1.0, 'task_loss': (0.0012, 0.0006)}
{'epoch': 51, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0007)}
{'epoch': 52, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0008)}
{'epoch': 53, 'train_loss': 0.0015, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0011)}
{'epoch': 54, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0006)}
{'epoch': 55, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0007, 0.0013)}
{'epoch': 56, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0007)}
{'epoch': 57, 'train_loss': 0.0015, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0012)}
{'epoch': 58, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0005)}
{'epoch': 59, 'train_loss': 0.0008, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0005)}
{'epoch': 60, 'train_loss': 0.0007, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0004)}
