{'deploy': True, 'tag': '02_beta/ta_sampler_loss', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [4], 'augment': False, 'n': 50, 'm_n': 2, 'beta': 0.2, 'custom_sampler': True}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.872, 'train_acc': 0.5902, 'task_loss': (0.4223, 0.4496)}
{'epoch': 2, 'train_loss': 0.8283, 'train_acc': 0.6515, 'task_loss': (0.364, 0.4643)}
{'epoch': 3, 'train_loss': 0.6, 'train_acc': 0.7293, 'task_loss': (0.2947, 0.3053)}
{'epoch': 4, 'train_loss': 0.6191, 'train_acc': 0.7614, 'task_loss': (0.2955, 0.3236)}
{'epoch': 5, 'train_loss': 0.2539, 'train_acc': 0.8459, 'task_loss': (0.0824, 0.1715)}
{'epoch': 6, 'train_loss': 0.2667, 'train_acc': 0.9053, 'task_loss': (0.1338, 0.1329)}
{'epoch': 7, 'train_loss': 0.4041, 'train_acc': 0.8684, 'task_loss': (0.2177, 0.1864)}
{'epoch': 8, 'train_loss': 0.2343, 'train_acc': 0.8864, 'task_loss': (0.0957, 0.1385)}
{'epoch': 9, 'train_loss': 0.1021, 'train_acc': 0.9586, 'task_loss': (0.0199, 0.0822)}
{'epoch': 10, 'train_loss': 0.0791, 'train_acc': 0.9659, 'task_loss': (0.0217, 0.0574)}
{'epoch': 11, 'train_loss': 0.031, 'train_acc': 1.0, 'task_loss': (0.0074, 0.0236)}
{'epoch': 12, 'train_loss': 0.0238, 'train_acc': 1.0, 'task_loss': (0.0079, 0.0159)}
{'epoch': 13, 'train_loss': 0.0196, 'train_acc': 1.0, 'task_loss': (0.0095, 0.0101)}
{'epoch': 14, 'train_loss': 0.0123, 'train_acc': 1.0, 'task_loss': (0.0037, 0.0085)}
{'epoch': 15, 'train_loss': 0.0198, 'train_acc': 1.0, 'task_loss': (0.0091, 0.0107)}
{'epoch': 16, 'train_loss': 0.0115, 'train_acc': 1.0, 'task_loss': (0.0023, 0.0092)}
{'epoch': 17, 'train_loss': 0.0258, 'train_acc': 0.9962, 'task_loss': (0.0117, 0.0141)}
{'epoch': 18, 'train_loss': 0.0117, 'train_acc': 1.0, 'task_loss': (0.0031, 0.0086)}
{'epoch': 19, 'train_loss': 0.0074, 'train_acc': 1.0, 'task_loss': (0.0033, 0.0041)}
{'epoch': 20, 'train_loss': 0.0036, 'train_acc': 1.0, 'task_loss': (0.0006, 0.003)}
{'epoch': 21, 'train_loss': 0.0026, 'train_acc': 1.0, 'task_loss': (0.0008, 0.0018)}
{'epoch': 22, 'train_loss': 0.0028, 'train_acc': 1.0, 'task_loss': (0.0007, 0.0021)}
{'epoch': 23, 'train_loss': 0.003, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0024)}
{'epoch': 24, 'train_loss': 0.0015, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0012)}
{'epoch': 25, 'train_loss': 0.0018, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0015)}
{'epoch': 26, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0016)}
{'epoch': 27, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0015)}
{'epoch': 28, 'train_loss': 0.0017, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0014)}
{'epoch': 29, 'train_loss': 0.0021, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0017)}
{'epoch': 30, 'train_loss': 0.0018, 'train_acc': 1.0, 'task_loss': (0.0006, 0.0013)}
{'epoch': 31, 'train_loss': 0.0018, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0015)}
{'epoch': 32, 'train_loss': 0.0014, 'train_acc': 1.0, 'task_loss': (0.0003, 0.001)}
{'epoch': 33, 'train_loss': 0.0012, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0009)}
{'epoch': 34, 'train_loss': 0.0013, 'train_acc': 1.0, 'task_loss': (0.0004, 0.001)}
{'epoch': 35, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0008)}
{'epoch': 36, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0007)}
{'epoch': 37, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0009)}
{'epoch': 38, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0007)}
{'epoch': 39, 'train_loss': 0.0016, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0012)}
{'epoch': 40, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0008)}
{'epoch': 41, 'train_loss': 0.0012, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0009)}
{'epoch': 42, 'train_loss': 0.0011, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0009)}
{'epoch': 43, 'train_loss': 0.0008, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0007)}
