{'deploy': True, 'tag': '05_ood/00_domain_alpha_t', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': True, 'group_task_loss': True}, 'task': {'dataset': 'domain_net', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [0], 'augment': False, 'n': 100, 'm_n': 2, 'beta': 0.5, 'custom_sampler': False, 'm_cinic': 1, 'm_cinic_neg': 0.0}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.4556, 'train_acc': 0.7935, 'task_loss': (0.0426, 0.413)}
{'epoch': 2, 'train_loss': 0.269, 'train_acc': 0.8895, 'task_loss': (0.0218, 0.2472)}
{'epoch': 3, 'train_loss': 0.1436, 'train_acc': 0.9402, 'task_loss': (0.0117, 0.132)}
{'epoch': 4, 'train_loss': 0.0508, 'train_acc': 0.9855, 'task_loss': (0.0033, 0.0476)}
{'epoch': 5, 'train_loss': 0.041, 'train_acc': 0.9855, 'task_loss': (0.0023, 0.0387)}
{'epoch': 6, 'train_loss': 0.0434, 'train_acc': 0.9855, 'task_loss': (0.003, 0.0404)}
{'epoch': 7, 'train_loss': 0.0208, 'train_acc': 0.9964, 'task_loss': (0.001, 0.0198)}
{'epoch': 8, 'train_loss': 0.0156, 'train_acc': 1.0, 'task_loss': (0.001, 0.0146)}
{'epoch': 9, 'train_loss': 0.0133, 'train_acc': 0.9964, 'task_loss': (0.0009, 0.0124)}
{'epoch': 10, 'train_loss': 0.0155, 'train_acc': 0.9928, 'task_loss': (0.0015, 0.0141)}
{'epoch': 11, 'train_loss': 0.0371, 'train_acc': 0.9837, 'task_loss': (0.0037, 0.0334)}
{'epoch': 12, 'train_loss': 0.01, 'train_acc': 0.9982, 'task_loss': (0.0007, 0.0093)}
{'epoch': 13, 'train_loss': 0.0056, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0052)}
{'epoch': 14, 'train_loss': 0.0028, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0027)}
{'epoch': 15, 'train_loss': 0.002, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0019)}
{'epoch': 16, 'train_loss': 0.0022, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0021)}
{'epoch': 17, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0008)}
{'epoch': 18, 'train_loss': 0.0015, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0014)}
{'epoch': 19, 'train_loss': 0.0019, 'train_acc': 1.0, 'task_loss': (0.0004, 0.0016)}
