{'deploy': True, 'tag': '05_ood/01_domain_alpha1', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'task': {'dataset': 'domain_net', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [1], 'augment': False, 'n': 100, 'm_n': 4, 'beta': 0.5, 'custom_sampler': False, 'm_cinic': 1, 'm_cinic_neg': 0.0}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.7004, 'train_acc': 0.5938, 'task_loss': (0.3197, 0.3807)}
{'epoch': 2, 'train_loss': 0.5462, 'train_acc': 0.6961, 'task_loss': (0.2072, 0.339)}
{'epoch': 3, 'train_loss': 0.5107, 'train_acc': 0.7008, 'task_loss': (0.1871, 0.3236)}
{'epoch': 4, 'train_loss': 0.4132, 'train_acc': 0.7829, 'task_loss': (0.1261, 0.2871)}
{'epoch': 5, 'train_loss': 0.3293, 'train_acc': 0.8124, 'task_loss': (0.0754, 0.254)}
{'epoch': 6, 'train_loss': 0.2692, 'train_acc': 0.8372, 'task_loss': (0.0488, 0.2203)}
{'epoch': 7, 'train_loss': 0.1994, 'train_acc': 0.8791, 'task_loss': (0.0291, 0.1703)}
{'epoch': 8, 'train_loss': 0.2019, 'train_acc': 0.9023, 'task_loss': (0.0384, 0.1636)}
{'epoch': 9, 'train_loss': 0.1506, 'train_acc': 0.9116, 'task_loss': (0.0259, 0.1247)}
{'epoch': 10, 'train_loss': 0.107, 'train_acc': 0.9411, 'task_loss': (0.0133, 0.0936)}
{'epoch': 11, 'train_loss': 0.0982, 'train_acc': 0.9442, 'task_loss': (0.0266, 0.0715)}
{'epoch': 12, 'train_loss': 0.1053, 'train_acc': 0.9519, 'task_loss': (0.0166, 0.0887)}
{'epoch': 13, 'train_loss': 0.0634, 'train_acc': 0.9736, 'task_loss': (0.0108, 0.0526)}
{'epoch': 14, 'train_loss': 0.0392, 'train_acc': 0.9814, 'task_loss': (0.0017, 0.0375)}
{'epoch': 15, 'train_loss': 0.0315, 'train_acc': 0.9814, 'task_loss': (0.0013, 0.0302)}
{'epoch': 16, 'train_loss': 0.0178, 'train_acc': 0.9938, 'task_loss': (0.0012, 0.0167)}
{'epoch': 17, 'train_loss': 0.0141, 'train_acc': 0.9938, 'task_loss': (0.0008, 0.0133)}
{'epoch': 18, 'train_loss': 0.0115, 'train_acc': 0.9969, 'task_loss': (0.0007, 0.0108)}
{'epoch': 19, 'train_loss': 0.0096, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0091)}
{'epoch': 20, 'train_loss': 0.0091, 'train_acc': 0.9984, 'task_loss': (0.0003, 0.0087)}
{'epoch': 21, 'train_loss': 0.0064, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0062)}
{'epoch': 22, 'train_loss': 0.0059, 'train_acc': 1.0, 'task_loss': (0.0007, 0.0052)}
{'epoch': 23, 'train_loss': 0.0045, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0043)}
{'epoch': 24, 'train_loss': 0.0047, 'train_acc': 0.9984, 'task_loss': (0.0003, 0.0044)}
{'epoch': 25, 'train_loss': 0.0042, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0039)}
{'epoch': 26, 'train_loss': 0.0026, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0023)}
{'epoch': 27, 'train_loss': 0.0024, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0023)}
{'epoch': 28, 'train_loss': 0.0022, 'train_acc': 1.0, 'task_loss': (0.0002, 0.002)}
{'epoch': 29, 'train_loss': 0.0025, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0024)}
{'epoch': 30, 'train_loss': 0.0022, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0021)}
{'epoch': 31, 'train_loss': 0.0017, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0016)}
{'epoch': 32, 'train_loss': 0.0014, 'train_acc': 1.0, 'task_loss': (1e-04, 0.0014)}
