{'deploy': True, 'tag': '05_ood/05_domain_alpha_t', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': True, 'group_task_loss': True}, 'task': {'dataset': 'domain_net', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [5], 'augment': False, 'n': 100, 'm_n': 3, 'beta': 0.5, 'custom_sampler': False, 'm_cinic': 1, 'm_cinic_neg': 0.0}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.5178, 'train_acc': 0.7125, 'task_loss': (0.0716, 0.4462)}
{'epoch': 2, 'train_loss': 0.3805, 'train_acc': 0.8388, 'task_loss': (0.1107, 0.2698)}
{'epoch': 3, 'train_loss': 0.2476, 'train_acc': 0.8788, 'task_loss': (0.0518, 0.1958)}
{'epoch': 4, 'train_loss': 0.1827, 'train_acc': 0.92, 'task_loss': (0.0344, 0.1483)}
{'epoch': 5, 'train_loss': 0.0804, 'train_acc': 0.9612, 'task_loss': (0.0229, 0.0575)}
{'epoch': 6, 'train_loss': 0.0224, 'train_acc': 0.9862, 'task_loss': (0.0114, 0.0109)}
{'epoch': 7, 'train_loss': 0.0237, 'train_acc': 0.9825, 'task_loss': (0.0191, 0.0046)}
{'epoch': 8, 'train_loss': 0.0452, 'train_acc': 0.9662, 'task_loss': (0.0294, 0.0158)}
{'epoch': 9, 'train_loss': 0.0161, 'train_acc': 0.9938, 'task_loss': (0.0048, 0.0112)}
{'epoch': 10, 'train_loss': 0.0121, 'train_acc': 0.995, 'task_loss': (0.0024, 0.0097)}
{'epoch': 11, 'train_loss': 0.0031, 'train_acc': 1.0, 'task_loss': (0.001, 0.0021)}
{'epoch': 12, 'train_loss': 0.0027, 'train_acc': 0.9988, 'task_loss': (0.0014, 0.0012)}
{'epoch': 13, 'train_loss': 0.0026, 'train_acc': 1.0, 'task_loss': (0.002, 0.0005)}
{'epoch': 14, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0006)}
{'epoch': 15, 'train_loss': 0.0009, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0007)}
{'epoch': 16, 'train_loss': 0.001, 'train_acc': 1.0, 'task_loss': (0.0005, 0.0005)}
{'epoch': 17, 'train_loss': 0.0007, 'train_acc': 1.0, 'task_loss': (0.0003, 0.0004)}
{'epoch': 18, 'train_loss': 0.0006, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0003)}
{'epoch': 19, 'train_loss': 0.0006, 'train_acc': 1.0, 'task_loss': (0.0002, 0.0004)}
